DATA;LOTE;ORD.;PEÇAS;COR;QUANT. TOTAL;ENTREGUE;HORA
19/mar;38074;↓;PINÁSIOS FRENTE CAD. JUSSARA;DMC;8;1;22:00
19/mar;38074;↓;ARO BANCO FARO;CR.CAST;9;1;23:00
19/mar;38074;↓;PARES DE PÉS LARISSA ESTOFADA 2024 S/B ;CAST;10;1;00:00
19/mar;38074;↓;VÂNIA COMPLETA;CR.CAST;11;1;01:00
19/mar;38074;↓;VÂNIA COMPLETA;LOA;12;1;02:00
19/mar;38075;↓;VÂNIA COMPLETA;FREIJO;13;1;03:00
19/mar;38074;↓;CADEIRA IARA (ASSENTO);DMC;14;1;04:00
19/mar;38074;↓;CADEIRA IARA (ASSENTO);AMD;8;1;05:00
19/mar;38072;↓;CADEIRA BETH 2024 ESTOFADA + PINÁSIOS TRASEIRO;CAST;24;1;06:00
19/mar;38072;↓;CADEIRA BETH 2024 ESTOFADA + PINÁSIOS TRASEIRO;DMC;8;1;07:00
19/mar;38072;↓;CADEIRA BETH 2024 ESTOFADA + PINÁSIOS TRASEIRO;NOG;18;1;08:00
19/mar;38072;↓;CD. BETH TELA 2024 ;CI.CAST;59;1;09:00
19/mar;38072;↓;PARES DE PÉS TARSEIRO CADEIRA ESTER COMPLETA;AMD;4;1;10:00
19/mar;38073;↓;DESENHO BANQUETA VELMA BAIXA ESPECIAL;EBN;4;1;11:00
19/mar;38072;↓;PINÁSIOS LARISSA TELA S/B 2024;DMC;6;1;12:00
20/mar;38109;↓;PINÁSIOS CADEIRA NOA;DMC;8;1;13:00
20/mar;38109;↓;ASSENTO NORAH NORMAL MADEIRA;AMD;6;1;14:00
20/mar;38109;↓;CADEIRA WILLIANS;NOG;14;1;15:00
20/mar;38109;↓;ENCOSTO MELISSA;CR.MT;2;1;16:00
20/mar;38074;↓;PINÁSIOS CAD. JOANA ESTOFADA;AMD;6;1;17:00
20/mar;38074;↓;BANQUETA JOANA ENC. TELA BAIXA;CR.NOG;5;1;18:00
20/mar;38074;↓;BANQUETA JOANA ENC. MD. BAIXA;CAST;3;1;19:00
20/mar;38074;↓;BANQUETA JOANA ENC. MD. BAIXA;NOG;5;1;20:00
20/mar;38074;↓;BANQUETA JOANA ENC. MD. BAIXA;AMD;2;1;21:00
20/mar;38074;↓;BANQUETA JOANA ENC. TELA BAIXA;CR.DMC;2;1;22:00
20/mar;38074;↓;BANQUETA JOANA ENC. TELA BAIXA;CR.CAST;4;1;23:00
20/mar;38074;↓;BANQUETA JOANA ENC. TELA BAIXA;LOA;2;1;00:00
20/mar;38074;↓;PINÁSIOS CADEIRA ÊNIA ;DMC;8;1;01:00
20/mar;38074;↓;PINÁSIOS CADEIRA ÊNIA ;AMD;8;1;02:00
